url,id,make,model,price,year,type,status,mileage,trim,scraped_at,address,city,state,zip,mpg_city,mpg_hwy,cylinders_count,engine,horsepower,torque,fuel_type,drivetrain,color,transmission,doors,seats,vin,stock_number,curb_weight,msrp,displacement,transmission_type,depreciation_rate,mpg_combined
https://www.carvana.com/vehicle/1997623,1997623,Chevrolet,Equinox,22990,2017,SUV,Available,50093,Premier Sport Utility 4D,2021-10-09 13:37:17,1951 Morgan Rd,Bessemer,AL,35022,20.0,28.0,4.0,"4-Cyl, 2.4 Liter",182.0,172.0,Gas,AWD,Black,"Auto, 6-Spd w/OD",4,5,2GNFLGEK4H6207120,2001246662,3842.0,30935,2.4,automatic,-7.152072793929398,22.950819672131143
https://www.carvana.com/vehicle/1970652,1970652,Buick,Envision,22590,2017,SUV,Available,46145,Preferred Sport Utility 4D,2021-10-09 13:37:19,1925 Concord Pkwy S,Concord,NC,28027,22.0,29.0,4.0,"4-Cyl, 2.5 Liter",197.0,192.0,Gas,FWD,Red,"Auto, 6-Spd w/DSC",4,5,LRBFXASA7HD041441,2001249489,3755.0,36795,2.5,automatic,-11.48194637135842,24.680851063829788
https://www.carvana.com/vehicle/1902774,1902774,Acura,TLX,20990,2015,Sedan,Available,57065,2.4 Sedan 4D,2021-10-09 13:37:22,1951 Morgan Rd,Bessemer,AL,35022,24.0,35.0,4.0,"4-Cyl, VTEC, 2.4 Liter",206.0,182.0,Gas,FWD,Black,"Auto, 8-Spd DCT SptShft",4,5,19UUB1F35FA018663,2001168363,3483.0,34725,2.4,automatic,-8.04789041570395,27.953410981697168
https://www.carvana.com/vehicle/2000548,2000548,Hyundai,Elantra,18990,2019,Sedan,Available,48123,SEL Sedan 4D,2021-10-09 13:37:24,1951 Morgan Rd,Bessemer,AL,35022,28.0,37.0,4.0,"4-Cyl, 2.0 Liter",147.0,132.0,Gas,FWD,Black,"Automatic, 6-Spd w/Shiftronic",4,5,KMHD84LF1KU743212,2001279157,2844.0,20430,2.0,automatic,-3.5886200439905203,31.441578148710168
https://www.carvana.com/vehicle/1906924,1906924,Chevrolet,Impala,21590,2015,Sedan,Available,67172,LTZ Sedan 4D,2021-10-09 13:37:26,1925 Concord Pkwy S,Concord,NC,28027,,,6.0,"V6, Flex Fuel, 3.6 Liter",,,FlexFuel,FWD,Blue,"Automatic, 6-Spd",4,5,1G1165S31FU107186,2001097183,,37260,,automatic,-8.693513366007311,
https://www.carvana.com/vehicle/1891132,1891132,Honda,Accord,21590,2017,Sedan,Available,40257,LX Sedan 4D,2021-10-09 13:37:29,63 Pierce Rd,Winder,GA,30680,27.0,36.0,4.0,"4-Cyl, i-VTEC, 2.4 Liter",,,Gas,FWD,Black,"Auto, CVT w/Sport Mode",4,5,1HGCR2F37HA303123,2001005847,3239.0,24145,,automatic,-2.757445681644488,30.422535211267608
https://www.carvana.com/vehicle/1993262,1993262,Toyota,Camry,23590,2018,Sedan,Available,54278,LE Sedan 4D,2021-10-09 13:37:31,1100 Family Dollar,West Memphis,AR,72301,28.0,39.0,4.0,"4-Cyl, 2.5 Liter",203.0,184.0,Gas,FWD,Red,"Auto, 8-Spd SeqShft",4,5,4T1B11HKXJU594930,2001232353,3296.0,25070,2.5,automatic,-2.007868979463745,32.070484581497794
https://www.carvana.com/vehicle/1861875,1861875,Dodge,Journey,20990,2019,SUV,Available,41711,SE Sport Utility 4D,2021-10-09 13:37:33,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,19.0,25.0,4.0,"4-Cyl, 2.4 Liter",173.0,166.0,Gas,FWD,Black,"Automatic, 4-Spd w/AutoStick",4,7,3C4PDCBBXKT794241,2001103253,3818.0,24890,2.4,automatic,-8.16805749127555,21.30044843049327
https://www.carvana.com/vehicle/2004275,2004275,Honda,Civic,15590,2013,Sedan,Available,70056,LX Sedan 4D,2021-10-09 13:38:41,63 Pierce Rd,Winder,GA,30680,28.0,39.0,4.0,"4-Cyl, i-VTEC, 1.8 Liter",140.0,128.0,Gas,FWD,Burgundy,"Automatic, 5-Spd",4,5,19XFB2F55DE077575,2001202860,2815.0,19755,,automatic,-2.916341225596142,32.070484581497794
https://www.carvana.com/vehicle/1916881,1916881,Kia,Optima,19990,2017,Sedan,Available,51694,LX Sedan 4D,2021-10-09 13:38:42,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,24.0,34.0,4.0,"4-Cyl, 2.4 Liter",,,Gas,FWD,Blue,"Auto, 6-Spd Sportmatic",4,5,5XXGT4L32HG170230,2001101990,3219.0,23095,,automatic,-3.5452306423729874,27.66101694915254
